unit	path	disposition
00b	unittests/crypto/CMakeLists.txt	Alpha already links required crypto regression targets
00b	unittests/emulator/lifecycle.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/ethereum.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/mayachain.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/recovery.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/recovery_review_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/review_handlers.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/review_integer.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/ripple.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/setup_ceremony.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/signed_metadata.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/storage.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/thorchain.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/zcash.cpp	Alpha already uses explicit RedPallas randomness API
00b	unittests/firmware/zcash_display.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/zcash_display_confirm_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	unittests/firmware/zcash_display_layout_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
01	.github/workflows/release.yml	Retain alpha workflow; source/tests and integration record scope
01	CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
01	docs/DiceEntropy.md	Evidence preserved; release audit/artifacts outside alpha scope
01	docs/release/audit-units/715-01-review-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
01	docs/release/audit-units/715-01-review-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
01	docs/security/7.14.3-bitcoin-only-dice-audit-sop.md	Evidence preserved; release audit/artifacts outside alpha scope
01	include/keepkey/board/messages.h	Replayed/reconciled; see adjacent alpha diff and behavior record
01	include/keepkey/rand/rng_health.h	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/board/messages.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/board/udp.c	Alpha already polls progress animations while waiting
01	lib/board/usb.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/CMakeLists.txt	Alpha already includes active firmware engines; retain full feature build
01	lib/firmware/ethereum.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/fsm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/fsm_msg_debug.h	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/fsm_msg_ripple.h	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/fsm_msg_zcash.h	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/home_sm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/messagemap.def	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/reset.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/firmware/signed_metadata.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	lib/rand/rng_health.c	Replayed/reconciled; see adjacent alpha diff and behavior record
01	scripts/generate-test-report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
01	unittests/board/board.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
01	unittests/firmware/fsm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
01	unittests/firmware/rng_health.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
01	unittests/firmware/signed_metadata.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
01	unittests/firmware/usb_rx.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
02	.gitleaks.toml	Keep alpha secret-scan configuration; no new credentials
02	CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
02	deps/python-keepkey	Replayed/reconciled; see adjacent alpha diff and behavior record
02	docs/DiceEntropy.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/REHEARSAL-SOP.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/715-01-review-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/715-01-review-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-INTERNAL-ROUND2-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-INTERNAL-ROUND2-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-PR-PREFLIGHT-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-RETROSPECTIVE-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-ROUND2-ARTIFACTS-20260923.json	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-ROUND2-COMMIT-INVENTORY-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-ROUND2-SKIPS-20260923.json	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-readiness-20260923-artifacts.json	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-readiness-20260923-skips.json	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-readiness-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-readiness-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-readiness-manifest-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-requalification-20260923-artifacts.json	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-requalification-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/release/audit-units/P02-requalification-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
02	docs/security/7.14.3-bitcoin-only-dice-audit-sop.md	Evidence preserved; release audit/artifacts outside alpha scope
02	include/keepkey/board/messages.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	include/keepkey/firmware/reset.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	include/keepkey/rand/rng_health.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/board/confirm_sm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/board/messages.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/board/udp.c	Alpha already polls progress animations while waiting
02	lib/board/usb.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/board/usb_rx_callbacks.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/CMakeLists.txt	Alpha already includes active firmware engines; retain full feature build
02	lib/firmware/ethereum.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_binance.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_common.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_cosmos.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_debug.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_eos.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_mayachain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_osmosis.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_tendermint.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/fsm_msg_thorchain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/passphrase_sm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/pin_sm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/recovery_cipher.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/reset.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/signed_metadata.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/firmware/signing.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	lib/rand/rng_health.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	scripts/emulator/python-keepkey-tests.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
02	scripts/generate-test-report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/board/board.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/fsm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/recovery.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/reset_policy_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/rng_health.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/signed_metadata.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/storage_passphrase.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/usb_callbacks.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/firmware/usb_rx.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
02	unittests/host/test_p02_transport.py	Replayed/reconciled; see adjacent alpha diff and behavior record
03	docs/firmware/reviews/7.15.0-review-round2-remediation.md	Evidence preserved; release audit/artifacts outside alpha scope
03	docs/release/audit-units/P03-requalification-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
03	docs/release/audit-units/P03-requalification-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
03	include/keepkey/firmware/bip85.h	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/bip85.c	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/fsm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/fsm_msg_bip85.h	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/fsm_msg_debug.h	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/fsm_msg_ethereum.h	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/recovery_cipher.c	Replayed/reconciled; see adjacent alpha diff and behavior record
03	lib/firmware/storage.c	Replayed/reconciled; see adjacent alpha diff and behavior record
03	scripts/emulator/python-keepkey-tests.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
03	unittests/firmware/fsm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
03	unittests/firmware/storage.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
03	unittests/host/test_p03_recovery.py	Replayed/reconciled; see adjacent alpha diff and behavior record
04	docs/release/audit-units/715-04-review-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
04	docs/release/audit-units/715-04-review-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
04	lib/firmware/fsm_msg_mayachain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
04	lib/firmware/fsm_msg_tron.h	Replayed/reconciled; see adjacent alpha diff and behavior record
04	unittests/firmware/mayachain.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
04	unittests/firmware/tron.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
05	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
05	.github/workflows/release.yml	Retain alpha workflow; source/tests and integration record scope
05	CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
05	docs/release/audit-units/715-05-review-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
05	docs/release/audit-units/715-05-review-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
05	docs/release/audit-units/715-05-skips-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
05	scripts/build/docker/device/release.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
05	scripts/generate-test-report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
06	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
06	.gitmodules	Alpha already uses BitHighlander host fork
06	deps/python-keepkey	Replayed/reconciled; see adjacent alpha diff and behavior record
06	docs/release/audit-units/715-06-evidence-sha256-20260924.txt	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-history-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-intake-evidence-20260924.tgz	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-reconciliation-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-review-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-review-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-skips-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-validation-20260924.tgz	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/release/audit-units/715-06-validation-sha256-20260924.txt	Evidence preserved; release audit/artifacts outside alpha scope
06	docs/security/evidence/rom-printf-integer-percent/README.md	Evidence preserved; release audit/artifacts outside alpha scope
06	include/keepkey/firmware/eip712.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	include/keepkey/firmware/tiny-json.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	include/keepkey/transport/messages.options	Alpha already has 24 CoinTable entries; preserve 8192-byte entropy API
06	lib/board/messages.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/eip712.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/ethereum.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/ethereum_contracts/zxliquidtx.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/fsm_msg_common.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/fsm_msg_eos.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/fsm_msg_ethereum.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/fsm_msg_ripple.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/recovery_cipher.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/ripple.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/signing.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	lib/firmware/storage.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	scripts/emulator/python-keepkey-tests.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
06	scripts/tests/test_usb_receive_callbacks.py	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/app_confirm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/eip712.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/ethereum.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/fsm.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/kkconfirm_driver.cpp	Alpha already uses shared safe board/confirmation test support
06	unittests/firmware/kkconfirm_driver.h	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/liquidity_key_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/messages_probe.c	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/ripple.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/signed_metadata.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/storage.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
06	unittests/firmware/usb_rx.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
07	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
07	.gitignore	Keep alpha ignores; slice artifact outputs are outside scope
07	.gitmodules	Alpha already uses BitHighlander host fork
07	deps/python-keepkey	Replayed/reconciled; see adjacent alpha diff and behavior record
07	docs/release/audit-units/715-06-history-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-reconciliation-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-review-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-review-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-skips-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-validation-20260924.tgz	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-06-validation-sha256-20260924.txt	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-first-copilot-retrospective-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-first-copilot-retrospective-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-full-audit-remediation-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-full-audit-remediation-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-history-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-intake-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-review-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-review-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-skips-20260924.tsv	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-validation-20260924.tgz	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/release/audit-units/715-07-validation-sha256-20260924.txt	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/security/HANDOFF-ERC7730-715-FORMATTERS.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/security/HANDOFF-ERC7730-ALPHA.md	Evidence preserved; release audit/artifacts outside alpha scope
07	docs/security/evidence/rom-printf-integer-percent/README.md	Evidence preserved; release audit/artifacts outside alpha scope
07	include/keepkey/board/messages.h	Replayed/reconciled; see adjacent alpha diff and behavior record
